EJECUCIÓN PRESUPUESTAL A OCTUBRE DE 2016;;;;;
SECRETARÍA DE HACIENDA;;;;;
MUNICIPIO DE MEDELLÍN;;;;;
DEPENDENCIA;FONDO;PROYECTO;NOMBRE DEL PROYECTO;PRESUPUESTO DEFINITIVO;PRESUPUESTO EJECUTADO
Secretaría Privada;110000116 ;120360 ; Administr de información corp;10.347.316;7.516.170
Secretaría Privada;110000116 ;140183 ; FORTALEC  INSTIT DE LA SRÍA P;388.762.624;186.151.580
Secretaría de Comunicaciones;110000116 ;150104 ; 16PP1-FORT Y APOYO PROCESO CO;210.000.000;207.249.609
Secretaría de Comunicaciones;110000116 ;150105 ; 16PP1-FORT Y APOYO PROCESO DE;250.124.000;250.124.000
Secretaría de Comunicaciones;110000116 ;150106 ; 16PP2-FORT Y APOYO PROCESO CO;135.000.000;129.631.234
Secretaría de Comunicaciones;110000116 ;150107 ; 16PP3-FORT Y APOYO PROCESO CO;100.000.000;100.000.000
Secretaría de Comunicaciones;110000116 ;150108 ; 16PP4-FORT Y APOYO AL PROCESO;180.000.000;176.149.453
Secretaría de Comunicaciones;110000116 ;150109 ; 16PP5-FORT PROCESOS DE COMUNI;71.000.000;68.402.010
Secretaría de Comunicaciones;110000116 ;150110 ; 16PP6-FORT SISTEMA DE COMUNIC;190.000.000;185.624.845
Secretaría de Comunicaciones;110000116 ;150111 ; 16PP7-ARTIC PROCESOS DE COMUN;110.179.660;107.527.485
Secretaría de Comunicaciones;110000116 ;150112 ; 16PP8-COMUNICACIÓN INTEGRACIÓ;24.000.000;24.000.000
Secretaría de Comunicaciones;110000116 ;150113 ; 16PP9-FORT MEDIOS Y PROC COMU;175.000.000;168.240.049
Secretaría de Comunicaciones;110000116 ;150114 ; 16PP10-FORT MEDIOS Y PROC COM;150.000.000;146.149.452
Secretaría de Comunicaciones;110000116 ;150116 ; 16PP11-FORT SISTEMAS COMUNIC ;175.000.000;167.444.695
Secretaría de Comunicaciones;110000116 ;150117 ; 16PP12-PERIODISMO COMUNITARIO;40.000.000;38.560.221
Secretaría de Comunicaciones;110000116 ;150355 ; 16PP13-FORT DE LA RED DE MEDI;150.000.000;146.193.221
