IdLectura;Fecha;LatitudGrados;LatitudMinutos;LatitudSegundos;LongitudGrados;LongitudMinutos;LongitudSegundos;Viento_Kh;DireccionViento;TemperaturaExt_C;IndiceCalor_C;Presion_hPa;LluviaDiaria_MM;HumedadExt;TerperaturaExternaMax_C;TerperaturaExternaMin_C;TemperaturaInterna_C;TemperaturaInternaMax_C;TemperaturaInternaMin_C;HumedadExternaMax;HumedadExternaMin;HumedadInterna;HumedadInternaMax;HumedadInternaMin;PuntoRocio;VelMaximaViento_Kh;ET_mm
26168;2017-03-23 00:00:09.320;16582;0;6;-15721;1;75;2.00;NNW;17.56;18.06;997.47;13.00;94.00;17.78;17.50;24.39;24.67;24.39;94.00;94.00;66.00;66.00;66.00;16.67;5.00;0.00
26169;2017-03-23 00:05:09.313;16582;0;6;-15721;1;75;0.00;NNW;17.56;18.06;997.44;22.00;94.00;17.78;17.50;24.39;24.67;24.39;94.00;94.00;66.00;66.00;66.00;16.67;5.00;0.00
26170;2017-03-23 00:10:09.320;16582;0;6;-15721;1;75;0.00;NNW;17.50;17.94;997.37;13.00;93.00;17.78;17.50;24.39;24.67;24.39;94.00;93.00;66.00;66.00;66.00;16.67;5.00;0.00
26171;2017-03-23 00:15:09.310;16582;0;6;-15721;1;75;0.00;NNW;17.44;17.94;997.27;13.00;94.00;17.78;17.44;24.28;24.67;24.28;94.00;93.00;66.00;66.00;66.00;16.67;5.00;0.00
26172;2017-03-23 00:20:09.320;16582;0;6;-15721;1;75;0.00;NNW;17.44;17.94;997.30;1.00;94.00;17.78;17.44;24.28;24.67;24.28;94.00;93.00;66.00;66.00;66.00;16.67;5.00;0.00
26173;2017-03-23 00:25:09.330;16582;0;6;-15721;1;75;0.00;NNW;17.44;17.94;997.30;11.00;94.00;17.78;17.44;24.28;24.67;24.28;94.00;93.00;66.00;66.00;66.00;16.67;5.00;0.00
26174;2017-03-23 00:30:09.323;16582;0;6;-15721;1;75;0.00;SE;17.50;18.00;997.30;12.00;95.00;17.78;17.44;24.22;24.67;24.22;95.00;93.00;67.00;67.00;66.00;16.67;5.00;0.00
26175;2017-03-23 00:35:09.560;16582;0;6;-15721;1;75;6.00;ESE;17.44;17.94;997.16;12.00;94.00;17.78;17.44;24.11;24.67;24.11;95.00;93.00;67.00;67.00;66.00;16.67;7.00;0.00
26176;2017-03-23 00:40:09.300;16582;0;6;-15721;1;75;5.00;SE;17.44;17.94;997.03;2.00;94.00;17.78;17.44;24.00;24.67;24.00;95.00;93.00;67.00;67.00;66.00;16.67;7.00;0.00
26177;2017-03-23 00:45:09.307;16582;0;6;-15721;1;75;0.00;SE;17.50;18.00;996.96;2.00;95.00;17.78;17.44;23.89;24.67;23.89;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26178;2017-03-23 00:50:09.297;16582;0;6;-15721;1;75;1.00;SSE;17.56;18.06;996.96;16.00;95.00;17.78;17.44;23.89;24.67;23.89;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26179;2017-03-23 00:55:09.303;16582;0;6;-15721;1;75;0.00;SSE;17.56;18.06;996.96;17.00;95.00;17.78;17.44;23.83;24.67;23.83;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26180;2017-03-23 01:00:09.330;16582;0;6;-15721;1;75;0.00;SSE;17.50;18.00;996.89;14.00;95.00;17.78;17.44;23.83;24.67;23.83;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26181;2017-03-23 01:05:09.413;16582;0;6;-15721;1;75;0.00;SSE;17.44;17.94;996.93;12.00;95.00;17.78;17.44;23.83;24.67;23.83;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26182;2017-03-23 01:10:09.327;16582;0;6;-15721;1;75;0.00;W;17.44;17.94;997.03;14.00;95.00;17.78;17.39;23.83;24.67;23.83;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26183;2017-03-23 01:15:09.317;16582;0;6;-15721;1;75;0.00;W;17.39;17.89;997.03;13.00;95.00;17.78;17.39;23.83;24.67;23.83;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26184;2017-03-23 01:20:09.327;16582;0;6;-15721;1;75;0.00;W;17.39;17.89;997.06;13.00;95.00;17.78;17.39;23.83;24.67;23.83;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26185;2017-03-23 01:25:09.317;16582;0;6;-15721;1;75;0.00;W;17.39;17.89;997.16;11.00;95.00;17.78;17.39;23.83;24.67;23.83;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26186;2017-03-23 01:30:09.307;16582;0;6;-15721;1;75;0.00;W;17.28;17.72;997.10;8.00;95.00;17.78;17.28;23.83;24.67;23.83;95.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26187;2017-03-23 01:35:09.300;16582;0;6;-15721;1;75;0.00;W;17.28;17.78;997.13;12.00;96.00;17.78;17.28;23.83;24.67;23.83;96.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26188;2017-03-23 01:40:09.320;16582;0;6;-15721;1;75;0.00;W;17.28;17.78;997.06;11.00;96.00;17.78;17.28;23.83;24.67;23.83;96.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26189;2017-03-23 01:45:09.297;16582;0;6;-15721;1;75;0.00;W;17.28;17.78;996.99;19.00;96.00;17.78;17.28;23.83;24.67;23.83;96.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26190;2017-03-23 01:50:09.303;16582;0;6;-15721;1;75;0.00;W;17.28;17.78;996.83;24.00;96.00;17.78;17.28;23.72;24.67;23.72;96.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26191;2017-03-23 01:55:09.310;16582;0;6;-15721;1;75;0.00;W;17.33;17.83;996.79;12.00;96.00;17.78;17.28;23.72;24.67;23.72;96.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26192;2017-03-23 02:00:09.473;16582;0;6;-15721;1;75;0.00;SE;17.39;17.89;996.76;11.00;96.00;17.78;17.28;23.72;24.67;23.72;96.00;93.00;68.00;68.00;66.00;16.67;7.00;0.00
26193;2017-03-23 02:05:09.310;16582;0;6;-15721;1;75;0.00;S;17.39;17.89;996.79;1.00;96.00;17.78;17.28;23.72;24.67;23.72;96.00;93.00;69.00;69.00;66.00;16.67;7.00;0.00
26194;2017-03-23 02:10:09.363;16582;0;6;-15721;1;75;0.00;SSW;17.33;17.83;996.76;15.00;96.00;17.78;17.28;23.72;24.67;23.72;96.00;93.00;69.00;69.00;66.00;16.67;7.00;0.00
26195;2017-03-23 02:15:09.340;16582;0;6;-15721;1;75;0.00;SSW;17.28;17.78;996.72;1.00;96.00;17.78;17.28;23.61;24.67;23.61;96.00;93.00;69.00;69.00;66.00;16.67;7.00;0.00
26196;2017-03-23 02:20:09.397;16582;0;6;-15721;1;75;0.00;SSW;17.28;17.78;996.62;18.00;96.00;17.78;17.28;23.61;24.67;23.61;96.00;93.00;69.00;69.00;66.00;16.67;7.00;0.00
26197;2017-03-23 02:25:09.340;16582;0;6;-15721;1;75;0.00;SSW;17.28;17.78;996.52;11.00;96.00;17.78;17.22;23.61;24.67;23.61;96.00;93.00;69.00;69.00;66.00;16.67;7.00;0.00
26198;2017-03-23 02:30:09.313;16582;0;6;-15721;1;75;1.00;SSE;17.28;17.78;996.42;13.00;96.00;17.78;17.22;23.61;24.67;23.61;96.00;93.00;69.00;69.00;66.00;16.67;7.00;0.00
26199;2017-03-23 02:35:09.303;16582;0;6;-15721;1;75;0.00;SSE;17.06;17.50;996.35;12.00;95.00;17.78;17.06;23.50;24.67;23.50;96.00;93.00;69.00;69.00;66.00;16.11;7.00;0.00
26200;2017-03-23 02:40:09.610;16582;0;6;-15721;1;75;1.00;SE;16.83;17.22;996.35;16.00;95.00;17.78;16.78;23.50;24.67;23.50;96.00;93.00;69.00;69.00;66.00;16.11;7.00;0.00
26201;2017-03-23 02:45:09.303;16582;0;6;-15721;1;75;0.00;SE;16.72;17.11;996.22;18.00;95.00;17.78;16.67;23.33;24.67;23.33;96.00;93.00;69.00;69.00;66.00;16.11;7.00;0.00
26202;2017-03-23 02:50:09.310;16582;0;6;-15721;1;75;0.00;SE;16.67;17.06;996.08;12.00;95.00;17.78;16.67;23.33;24.67;23.33;96.00;93.00;69.00;69.00;66.00;16.11;7.00;0.00
26203;2017-03-23 02:55:09.300;16582;0;6;-15721;1;75;0.00;SE;16.72;17.11;996.01;1.00;95.00;17.78;16.67;23.22;24.67;23.22;96.00;93.00;69.00;69.00;66.00;16.11;7.00;0.00
26204;2017-03-23 03:00:09.433;16582;0;6;-15721;1;75;0.00;ESE;16.83;17.28;995.95;7.00;96.00;17.78;16.67;23.22;24.67;23.22;96.00;93.00;69.00;69.00;66.00;16.11;7.00;0.00
26205;2017-03-23 03:05:09.320;16582;0;6;-15721;1;75;5.00;SE;16.67;17.06;995.95;4.00;95.00;17.78;16.67;23.11;24.67;23.11;96.00;93.00;69.00;69.00;66.00;16.11;7.00;0.00
26206;2017-03-23 03:10:09.310;16582;0;6;-15721;1;75;1.00;S;16.61;16.94;995.91;0.00;94.00;17.78;16.61;23.11;24.67;23.11;96.00;93.00;69.00;69.00;66.00;15.56;7.00;0.00
26207;2017-03-23 03:15:09.330;16582;0;6;-15721;1;75;0.00;SE;16.56;16.89;996.01;0.00;94.00;17.78;16.50;23.06;24.67;23.06;96.00;93.00;69.00;69.00;66.00;15.56;7.00;0.00
26208;2017-03-23 03:20:09.337;16582;0;6;-15721;1;75;4.00;ENE;16.50;16.83;995.98;0.00;93.00;17.78;16.50;22.94;24.67;22.94;96.00;93.00;68.00;69.00;66.00;15.56;8.00;0.00
26209;2017-03-23 03:25:09.453;16582;0;6;-15721;1;75;6.00;ESE;16.50;16.83;995.81;0.00;93.00;17.78;16.50;22.83;24.67;22.83;96.00;93.00;68.00;69.00;66.00;15.56;8.00;0.00
26210;2017-03-23 03:30:09.523;16582;0;6;-15721;1;75;0.00;ESE;16.61;16.94;995.71;0.00;93.00;17.78;16.50;22.78;24.67;22.78;96.00;93.00;68.00;69.00;66.00;15.56;8.00;0.00
26211;2017-03-23 03:35:09.327;16582;0;6;-15721;1;75;1.00;ESE;16.72;17.11;995.67;0.00;94.00;17.78;16.50;22.78;24.67;22.78;96.00;93.00;68.00;69.00;66.00;15.56;8.00;0.00
26212;2017-03-23 03:40:09.320;16582;0;6;-15721;1;75;0.00;ESE;16.67;17.00;995.61;0.00;93.00;17.78;16.50;22.78;24.67;22.78;96.00;93.00;68.00;69.00;66.00;15.56;8.00;0.00
26213;2017-03-23 03:45:09.310;16582;0;6;-15721;1;75;0.00;ESE;16.67;17.00;995.61;0.00;93.00;17.78;16.50;22.78;24.67;22.78;96.00;93.00;68.00;69.00;66.00;15.56;8.00;0.00
