Open Data Inventory - Medellín,,,,,,,,,,,,,,
Id,Fuente de datos,Categoría,Dataset,Recurso de dato,URL Portal,URL Data Set,Metadata,Diccionario datos,Fecha publicación,Descripción,Formato archivo,Frecuencia actualización,Contacto,Licencia
1,GeoMedellín,Movilidad,Accidentalidad,2014,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/505e89d2ade143a684d51b60236ba285_0,https://opendata.arcgis.com/datasets/505e89d2ade143a684d51b60236ba285_0.zip,No,No,9/2/2017,"Se entiende por accidente de tránsito: ""evento, generalmente involuntario, generado al menos por un un vehículo en movimiento, que causa daños a personas y bienes involucrados en él, e igualmente afecta la normal circulación de los vehículos que se movilizan por la vía o vías comprendidas en el lugar o dentro de la zona de influencia del hecho"". (Ley 769 de 2002 - Código Nacional de Tránsito)",CSV/Shapefile,Anual,astrid.munoz@medellin.gov.co,Attribution-ShareAlike 4.0 International
2,GeoMedellín,Movilidad,Accidentalidad,2015,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/025f3be66fbd48b888b779cf00928ae8_4,https://opendata.arcgis.com/datasets/025f3be66fbd48b888b779cf00928ae8_4.zip,No,No,9/2/2017,"Se entiende por accidente de tránsito: ""evento, generalmente involuntario, generado al menos por un un vehículo en movimiento, que causa daños a personas y bienes involucrados en él, e igualmente afecta la normal circulación de los vehículos que se movilizan por la vía o vías comprendidas en el lugar o dentro de la zona de influencia del hecho"". (Ley 769 de 2002 - Código Nacional de Tránsito)",CSV/Shapefile,Anual,astrid.munoz@medellin.gov.co,Attribution-ShareAlike 4.0 International
3,GeoMedellín,Movilidad,Accidentalidad,2016,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/a65c3aff0ef34973a2441b6cd0fbc24a_8,https://opendata.arcgis.com/datasets/a65c3aff0ef34973a2441b6cd0fbc24a_8.zip,No,No,9/2/2017,"Se entiende por accidente de tránsito: ""evento, generalmente involuntario, generado al menos por un un vehículo en movimiento, que causa daños a personas y bienes involucrados en él, e igualmente afecta la normal circulación de los vehículos que se movilizan por la vía o vías comprendidas en el lugar o dentro de la zona de influencia del hecho"". (Ley 769 de 2002 - Código Nacional de Tránsito)",CSV/Shapefile,Anual,astrid.munoz@medellin.gov.co,Attribution-ShareAlike 4.0 International
4,GeoMedellín,Movilidad,Corredores Verdes,Current,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/d8443c6265444687918f0d5eea945369_1,https://opendata.arcgis.com/datasets/d8443c6265444687918f0d5eea945369_1.zip,No,No,8/3/2016,"Los corredores verdes son todas las vías que, dentro de su composición, incluyen una franja o franjas para movilidad peatonal y de Personas de Movilidad Reducida -PMR- de un ancho mayor al estipulado para los andenes y de mejores cualidades urbanas, lo cual permite espacios de encuentro y socialización de los ciudadanos. Estos corredores se encuentran asociados a quebradas y/o corrientes de agua, corredores de transporte publico, corredores viales o la combinación de los anteriores, teniendo en cuenta que el peatón es el actor principal y quien lleva la prioridad en términos de intervención.",CSV/Shapefile,,sandra.cortes@medellin.gov.co,Attribution-ShareAlike 4.0 International
5,GeoMedellín,Movilidad,Corredores para Transporte de Pasajeros,Current,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/c33b78a7e66e4f5faab0c624e1836d5e_9,https://opendata.arcgis.com/datasets/c33b78a7e66e4f5faab0c624e1836d5e_9.zip,No,No,8/3/2016,"El sistema de transporte urbano de pasajeros de Medellín estará constituido por los siguientes sistemas de transporte, los cuales a mediano o largo plazo estará conformado por la red de Transporte Masivo donde se incluyen las tecnologías del metro, el tren suburbano, el tranvía, las calzadas arteriales sólo bus (BRT), los cables y por su sistema complementario y de alimentación compuesto por buses, busetas y microbuses (Transporte Colectivo) entre otros, el transporte público individual y colectivo.",CSV/Shapefile,,sandra.cortes@medellin.gov.co,Attribution-ShareAlike 4.0 International
6,GeoMedellín,Movilidad,Ciclorutas,Current,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/4992727f511244f9a31810fcd895f84d_10,https://opendata.arcgis.com/datasets/4992727f511244f9a31810fcd895f84d_10.zip,No,No,8/3/2016,"Infraestructura vial para el uso extensivo de la bicicleta privada y/o pública, como medio de transporte alternativo de transporte a nivel municipal. Pueden estar dentro o fuera de la sección vial o de la calzada.",CSV/Shapefile,,sandra.cortes@medellin.gov.co,Attribution-ShareAlike 4.0 International
7,GeoMedellín,Habitat y Medio Ambiente,Quebradas,Current,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/1b09c821410b4d9bbf35b67bbbb935ee_5,https://opendata.arcgis.com/datasets/1b09c821410b4d9bbf35b67bbbb935ee_5.zip,No,No,8/3/2016,Quebradas de la ciudad de Medellín,CSV/Shapefile,,jaime.pizarro@medellin.gov.co,Attribution-ShareAlike 4.0 International
8,GeoMedellín,Habitat y Medio Ambiente,Rutas de recolección de material reciclable,Current,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/82da8a1e720746c1b07e4da721745fea_7,https://opendata.arcgis.com/datasets/82da8a1e720746c1b07e4da721745fea_7.zip,No,No,8/3/2016,Elemento puntual con la información de rutas de recolección de material reciclable.,CSV/Shapefile,,tomas.tintinago@medellin.gov.co,Attribution-ShareAlike 4.0 International
9,GeoMedellín,Habitat y Medio Ambiente,Centros de acopio de residuos sólidos,Current,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/337969783de74f72ba05a6380d0e9ea1_4,https://opendata.arcgis.com/datasets/337969783de74f72ba05a6380d0e9ea1_4.zip,No,No,6/26/2016,"Elemento geográfico puntual que contiene los centros de acopio de residuos sólidos que cuentan con instalación técnicamente diseñada con criterios de ingeniería, dedicadas al pesaje, clasificación, compra y venta de los residuos sólidos aprovechables mediante procesos manuales y mecánicos.",CSV/Shapefile,,tomas.tintinago@medellin.gov.co,Attribution-ShareAlike 4.0 International
10,GeoMedellín,Habitat y Medio Ambiente,Eco parques,Current,https://geomedellin-m-medellin.opendata.arcgis.com/datasets/fb5e0d6cfef4488cbb02c3c9ed3e89b4_0,https://opendata.arcgis.com/datasets/fb5e0d6cfef4488cbb02c3c9ed3e89b4_0.zip,No,No,8/3/2016,Elemento geográfico con los polígonos de eco parques asociados a las quebradas y otros cuerpos de agua en el Municipio de Medellín.,CSV/Shapefile,,gabriel.escudero@medellin.gov.co,Attribution-ShareAlike 4.0 International
